sentinal	footer	temp	gx	gy	gz	ax	ay	az	sentinal
-16124	65	-72	198	4848	1776	16528	-15445	2588	-9802	3016	5664	-12208	7728
-16129	264	236	138	5280	2256	15696	-15425	3135	-6552	2668	6208	-13312	5680
-16124	447	-252	297	5616	1664	16192	-15432	2708	-4748	1725	5840	-15264	3456
-16124	541	-861	355	5056	1216	15904	-15421	1656	-3951	1594	5072	-15808	592
-16135	102	275	199	5552	1248	15872	-15410	1013	-2969	1123	4320	-15072	368
-16125	94	140	-25	5424	1360	15872	-15416	-1061	1580	-1501	5840	-17552	96
-16120	137	542	54	5104	1856	15920	-15404	-1817	6318	-2822	6544	-15008	2000
-16140	86	380	147	5280	1696	15888	-15396	-1692	5834	-3069	7152	-12896	5616
-16137	-85	568	-142	5648	1760	16384	-15403	-1467	5606	-2778	7632	-12624	7680
-16134	-46	718	-82	5648	2208	15376	-15409	-2168	8453	-3575	7936	-8272	10224
-16121	-139	447	-48	6720	2512	16272	-15392	-2486	11551	-4759	8448	-7664	12592
-16131	-2853	2205	-921	2144	2400	16832	-15389	-1296	9812	-2960	7184	-496	13840
-16129	-273	1350	115	3184	3824	14832	-15397	-323	6120	-1423	6576	3136	14352
-16124	-126	-1599	924	4960	1328	17520	-15379	-146	4408	-915	6560	5600	14512
-16122	1200	-1047	301	4112	2000	16848	-15376	-389	3668	-1061	6176	5168	12544
-16132	1564	1139	-169	3216	2816	14736	-15376	-16	1918	-631	5952	7056	12608
-16125	134	-571	83	4368	2656	15792	-15374	465	-768	135	6160	7216	13472
-16128	-638	-762	927	4416	2192	15968	-15356	331	-1182	236	6560	5312	14544
-16139	-471	585	-46	4368	2048	16352	-15368	-142	-2373	429	6976	3408	13504
-16130	749	1086	-96	4688	2624	14992	-15373	536	-5262	1437	7168	2848	14400
-16132	-16	-787	876	6608	2144	15920	-15356	414	-2940	529	7648	1488	14576
-16127	510	-5	-818	5680	704	16720	-15358	-813	-806	-355	7104	1216	15632
-16137	674	180	-321	4752	1568	16896	-15356	-569	-2549	164	6384	1168	13296
-16128	470	1167	383	5152	2480	15408	-15359	2934	-3179	66	8720	-656	13712
-16127	148	-31	-100	4768	2224	15952	-15368	4947	-2323	148	10256	-4848	12416
-16129	114	-270	171	4384	2032	16448	-15355	4567	-945	766	11408	-3744	10496
-16125	617	954	230	5648	2208	15216	-15338	3638	27	79	12432	-3056	10576
-16126	54	130	20	5392	2016	15632	-15345	96	408	-106	12848	-3696	12400
-16126	48	-127	311	5248	1936	16352	-15315	-6368	1199	137	11296	-1904	10336
-16132	89	443	223	5504	2336	15728	-15323	-9318	-4	-29	8000	-2192	12816
-16122	-47	328	56	4768	2512	15808	-15323	-4428	1203	196	4240	-2576	14352
-16125	2	-87	201	4912	2016	16192	-15322	-3220	-254	-545	3360	-4400	15680
-16119	55	337	161	4624	2400	15856	-15334	-1908	-2330	-597	2864	-3712	16016
-16127	-60	316	-34	5472	2128	15776	-15357	583	-209	975	4288	-5184	14304
-16140	71	207	161	5056	2224	15968	-15353	1555	1145	-261	4416	-3776	16336
-16137	50	308	80	5344	2080	15936	-15348	7667	4236	626	7184	-2048	12176
-16137	142	335	65	5008	2448	15776	-15343	8692	906	810	10816	-3264	13328
-16139	95	231	75	5120	2320	16048	-15348	6884	1140	553	12880	-2528	9904
-16137	75	123	76	4864	2176	16128	-15330	5414	1162	386	13952	-2480	6880
-16133	141	319	96	5040	2304	15600	-15328	2346	16	-59	13920	-2752	8208
-16129	113	164	61	4992	2400	15808	-15314	-4489	617	-1345	13280	-2080	9280
-16134	150	60	234	5056	1968	15696	-15292	-13993	-4655	-3688	10912	-2224	10304
-16152	46	230	185	5248	2304	16016	-15291	-6099	-5557	1238	6768	-3392	15040
-16132	94	109	144	4944	2160	15888	-15314	-571	-15	181	6160	-3872	13264
-16128	109	296	125	4976	2432	15808	-15331	-91	-267	-41	6448	-4320	14160
-16142	79	199	110	4944	2224	15904	-15343	-25	-248	47	6448	-5072	14912
-16135	70	190	151	4944	2304	15888	-15335	1285	717	227	6624	-5616	14080
-16126	145	232	83	4896	2336	15776	-15363	-537	-2326	1004	6560	-8096	10464
-16134	67	200	115	5360	1712	16080	-15367	164	-328	1446	6576	-7712	14000
-16129	119	143	95	5024	2192	15856	-15387	445	912	-534	6528	-6192	14912
-16128	87	286	171	5024	2400	15824	-15375	-310	-1164	-551	6256	-2400	13376
-16134	-43	157	153	5936	1856	15440	-15391	723	1436	-3289	7008	-5584	11872
-16136	62	327	29	4944	2304	15760	-15405	4243	4473	-768	12032	-8800	15664
-16128	165	197	0	5024	2320	15824	-15391	1021	4164	3672	8592	-4496	10992
-16150	243	158	144	4848	2048	15600	-15393	-58	4121	4072	8768	-1520	14128
-16140	301	230	141	5392	2368	15856	-15372	-589	729	1544	8416	-1792	14656
-16140	46	286	253	4288	2448	15872	-15356	-942	-2241	-1582	7888	-3856	14720
-16144	-110	171	30	5056	1904	15856	-15360	-875	-3165	-3658	8192	-3408	13104
-16139	-146	389	247	5280	2208	15760	-15371	-802	-2762	-4919	8688	-4304	12912
-16133	-103	203	63	5136	2096	15936	-15347	384	-877	-2795	9088	-5104	14080
-16134	24	133	21	4928	2240	15904	-15343	465	1219	718	9216	-6560	12944
-16137	202	190	79	6240	1216	15680	-15359	950	3769	4400	9040	-4464	12576
-16129	438	316	153	5504	2384	15456	-15359	-151	3297	4421	8528	-2400	12800
-16147	342	271	234	3888	3264	15520	-15343	-34	1640	2289	7952	-400	14928
-16146	291	-201	290	4928	2272	15632	-15323	-43	-1090	-1721	8480	-3024	13840
-16141	-181	20	125	4608	2112	16400	-15324	258	-2204	-3361	8640	-2512	12896
-16154	-470	649	19	4160	2128	15408	-15327	616	-2179	-4189	9712	-2912	14192
-16147	-190	231	46	4864	2320	15824	-15309	472	-1104	-2788	10288	-6096	13952
-16139	74	51	28	4672	2240	16128	-15309	-201	939	944	9456	-6160	12736
-16141	462	443	170	5328	1728	15728	-15288	119	2842	4123	8864	-4192	11632
-16144	519	299	135	4912	3024	14544	-15305	544	1958	2788	9200	-1168	14400
-16140	-216	-442	326	4000	2608	16176	-15300	-75	-10	-219	9520	-3392	14272
-16147	522	700	179	3840	2720	15616	-15279	-4060	-4313	-1255	8992	-8096	8368
-16142	80	-2	-96	5008	1936	15888	-15298	-2292	-6957	796	7456	-7920	19136
-16143	-90	-110	199	4784	2160	16128	-15298	-522	-6460	1006	7600	-8720	9952
-16156	207	424	133	5312	2320	15616	-15295	687	-3574	-2820	8896	-12816	8848
-16146	180	198	155	5168	2080	15776	-15316	1204	-1281	-2476	9136	-11216	10512
-16144	-278	194	201	2176	2656	16144	-15331	-3180	1267	-940	27536	3760	-32320
-16144	-60	123	68	4896	1968	16288	-15347	2663	3311	-348	8944	-11840	11824
-16148	131	431	46	4912	2304	15568	-15339	-4733	-1822	3165	5712	-384	10320
-16149	148	156	-27	4528	2272	16144	-15365	1107	-850	242	7600	-9632	8240
-16156	187	214	189	4768	2432	15616	-15354	1859	-855	2118	4656	-13040	1616
-16143	247	192	136	5216	2080	16000	-15371	4487	-1834	1704	8368	-16704	7680
-16148	108	158	91	4912	2560	15760	-15379	1487	567	-1506	8256	-9552	10112
-16154	51	249	154	4688	2336	16272	-15380	865	-121	-1211	6576	-9952	8448
-16153	495	190	241	5104	1984	15952	-15384	3359	-858	-403	8016	-9184	10560
-16148	299	307	155	5072	3264	13712	-15393	2147	797	67	7696	-10160	13376
-16149	-838	-671	442	4272	720	16784	-15394	8392	-4649	2783	8800	-7824	5392
-16156	-1060	-2766	-504	5488	512	16432	-15383	-2743	-1662	-2068	11408	-9904	9680
-16146	-333	-511	-294	4736	-2176	16128	-15397	-5773	-2347	-4441	11136	-12352	1216
-16155	884	1315	-630	3120	-304	16368	-15402	795	931	-1425	10608	-12976	4240
-16151	166	15	-200	4816	896	16080	-15394	-2976	1782	2119	6160	-12112	8640
-16160	282	1707	-337	6032	1744	15648	-15403	-9159	-6254	2130	7360	-13008	6992
-16160	820	1547	42	6256	2864	15648	-15409	-7074	-356	914	6656	-13536	8080
-16166	359	809	119	5152	2496	14640	-15410	-4184	-292	2144	3984	-13952	7328
-16145	-248	-48	-72	4928	3136	16032	-15406	-2657	1800	4405	1328	-13072	9600
-16148	-109	114	305	4464	1840	16304	-15411	-5923	4827	3878	-464	-12112	9264
